NOMBRE	TIPO	DIRECCION	CLAUSURADO	ACTA
		Libertad 12, PB 1° y 2° piso y Azotea		4-334641,4-334642,4-347707
		AV. Pedro de Mendoza N° 3897/99 PB., EP. y PA.,		
		Av. Callao 35/37 y Bartolomé Mitre 1784/90, planta baja, 1° y 2° piso-ss		
		ÁLVAREZ JONTE 4150		
		AV. Juan B. Justo N° 9301/99, Viena N° 6480, Barragán N° 535		4-334721
		AV. Congreso N° 4326/28, PB.,		4-301771
		Griveo Nº 2461, PB		4-334589
		11 de septiembre de 1888 N° 4152, planta baja, planta alta y azotea.,		4-321413
		Rojas Nº 93 PB y Sótano, UF 1.,		4-335940
		José Pedro Varela 5714/16, planta baja y entre piso		4-348627
		Cnel. Ramón Falcón Nº 6689 PB		4-347265
		Montiel N° 30 PB (puerta al fondo derecha) y 1° Piso (y dos puertas frente  DTO f		4-347267,4-334516
		Bartolomé Mitre N° 1281/1283, PB, 1° a 4° SS y 1° a 5° Piso.,		4-334950
		Av. Rivadavia N° 5553 PB, SS, UF 2.,		4-335096
		Cañada de Gómez N° 4927, PB.,		4-348831
		Lavalleja N° 960, PB y PA.,		4-288500
		Piedras N° 78 PB		4-335658
		Perú N° 253 PB y Sótano		4-287750
		Emilio Lamarca Nº 855/57 PB,.		4-348108
		Av. Rivadavia Nº 4260 Piso 6°.,		4-335498
		República Bolivariana de Venezuela N° 1188 PB/EP/1° Piso		4-335659
		Miralla Nº 1939/41 PB.,		4-335398,4-335399
		José Antonio Cabrera N° 5621, PB, SS y 1° Piso		4-347509,4-347510,4-347511
		Darwin N° 105/109 PB (esq. Martínez Rosas		4-348359,4-348358,4-347589
		Darwin 92, planta baja		4-348360,4-348361
		Fitz Roy N° 343, PB		4-348363,4-348364,4-348362
		AV. Juan B. Justo N° 9270, PB. y entrepiso		4-347955,4-347954,4-347956
		AV. Segurola N° 207 PB. y PA		4-335942,4-335941
		Yapeyú N° 76 PB.,		4-348730,4-335495,4-335497,4-335496
		Av. Caseros Nº 2441, PB y EP		4-348555
		AV. Elvira Rawson de Dellepiane N° 51, PB.,		4-265191
		Av. Chiclana N° 3346 PB		4-347131
		Lavardén N° 401/37 y calle Pedro Chutro Nº 2802/04 PB. y PA		
		Zavaleta N° 315/27 PB,.		
		Tres Arroyos 546/84 y Rojas 155/53, planta baja, entre piso y sótano		4-348976,4-348977
		Campana N° 527, 1° Piso,.		
		LAVALLE Nº 3161 7º PISO DPTO. “B”.,		
		Paraguay 4539, planta baja, 1° a 3° piso y sótano,.		4-313225
		Santiago del Estero N° 907 PB, 1°, 2° y 3° piso		4-333076
		AV. Estado de Israel Nº 4349 PB., 1°, 2° piso, entrepisos y azotea		4-347336
		Lavalle Nº 2875 PB/EP		4-348437,4-348438
		AV. Independencia Nº 3836/40 PB/EP		4-315721
		Pedro Echague N° 1521 PB. y 1° piso		4-347348,4-347347,4-347346,4-347345,4-333839
		Gascón N° 120, PB		4-322167
		Billinghurst N° 337 PB, UF 9		4-335099
		Fray Justo Santamaría de Oro 2215, planta baja y 1° piso.,		4-334908,4-334910
		Gral. Eugenio Garzón Nº 5672/76 PB		4-334519
		Helguera N° 550 EP, PB, 1°y 2° Piso		4-173900
		Av. Santa Fe N° 4104, PB y EP		4-334370,4-334371
		Francisco Bilbao 3742, planta baja		4-334724
		Av. Callao N° 678 PB y SS		4-335027,4-335026
		San Pedrito N° 192, PB		4-335683
		Constitución N° 1323 PB y PA.,		4-265193
		San José N° 780, PB		4-177672
		Av. Córdoba N° 4972		4-265196
		Av. Santa Fe N° 4838 PB		4-265198
		Gallo N° 880		4-323784
		Gral. José. G. Artigas N° 690, PB		4-367822
		Pavón N° 1401		4-177674
		Serrano N° 1291		4-365194
		Agüero N° 449/5 PB, 1° piso y SS		4-321011
		Av. Rivadavia N° 10995 PB, PA y ST,.		4-335682
		Carlos Pellegrini N° 1081, PB y SS		4-321668
		Bauness N° 958 PB y 1° piso		4-321414
		Av. Independencia N° 1340/48,.		4-348002
		Rincón Nº 1151/53 PB/EPS/1º Y 2º PISO/ALTILLO		4-347991,4-347990,4-347990
		Honduras N° 4184 PB, PA,.		4-335028,4-335029
		San Lorenzo N° 332 PB		4-334446
		Cnel. Niceto Vega N° 5534/36,.		4-303347
		Pavón N° 1314, PB,.		4-177673
		Morón N° 4315 PB		4-348628
		Arcos Nº 3220 PB		4-335985
		Humberto 1º Nº 1207 SOTANO/PB/EP UF 8.,		4-315624,4-347079
		Av. Cabildo N° 592,.		4-335984
		Lima Nº 83 PB/SS, UF 3,.		4-048977,4-048978
		Av. Raúl. Scalabrini Ortiz N° 1430, PB		4-265197
		Av. Pedro Goyena N° 735 PB, ST, UF 1 y 2.,		4-348834
		Av. Avellaneda N° 3690 PB/EP/PA		4-349251
		Av. Triunvirato N° 4500, SS, PB, 1° y 2° Piso		4-334372,4-334373
		Dardo Rocha 2931, planta baja y planta alta		4-334374
		Fitz Roy Nº 1627 PB, EP, 1° Piso		4-016086
		Oliden N° 1935, PB		4-348004
		Campana N° 712, PB		4-333766,4-347810
		Av. Raúl Scalabrini Ortiz N° 1425/29, PB. y EP		4-016180
		Pavón 3501, planta baja y subsuelo		4-348158
		Av. Corrientes Nº 6102 PB (junto vías del ferrocarril),.		4-348368,4-348366,4-348367
		AV. Corrientes N° 6102 PB., –lindero a chapa catastral N° 6104-.,		4-348443,4-348440,4-348439,4-348441,4-348442
		Emilio Mitre 310, planta baja		4-348835
		Plaza Nº 2846 PB/1º y 2º PISO,.		4-348112
		LUIS VIALE 2990/92, planta baja		4-348165,4-348164
		Francisco de Viedma Nº 6815/29 PB.,		4-323284,4-323285
		Salta N° 1444 PB., 1° a 4° piso		4-347719,4-347720,4-349182,4-349181
		Av. Corrientes N° 3012 PB, 1°, 2° piso, EP (2).,		4-349201
		Monroe 4421, planta baja.,		4-349252
		Hipólito Yrigoyen N° 2570, 2° piso		4-347350
		Av. Eva Perón N° 4274 PB		4-348954
		Av. Nazca N° 970, PB y PA,.		4-348163,4-348162
		Felipe Vallese N° 2569/71/73 PB.,		4-348160,4-348159
		Av. Gaona N° 1424 PB, UF 2,.		4-347055
		Roseti Nº 1562, PB y PA		4-349026
		AV. Cnel. Esteban Bonorino Nº (Manzana) 24 Casa 8 PB/1º A 4ºp az		4-323208,4-348631,4-323209
		Bartolomé Mitre N° 1851, PB		4-347286
		Mariscal Antonio José de Sucre N° 1918/20 PB/1°/2° Piso		4-315241
		Lavalle N° 3089 PB		4-349253
		Adolfo Alsina N° 3036 PB. y EP		4-347641,4-347640
		Larraya Nº 2072, PA Fondo		4-322323
		Mom N° 2775		4-347270,4-347268,4-348241
		Olleros N° 3282/84/88/90, PB/EP/PA		4-348480,4-334848
		Chacabuco 679, planta baja, 1° piso,.		4-335011,4-334825
		Gavilán 359 y Granaderos 258, PB, PA y Azotea		4-348477,4-323120
		Av. Díaz Vélez 3990, planta baja, unidad funcional 2		4-348445
		Av. Segurola 472/74, planta baja y planta alta		4-349776
		French Nº 2316.,		4-323772
		Somellera Nº 5461, PB.,		4-349082,4-334224
		Chacabuco N° 855/63 PB,.		4-314522,4-314523,4-314524
		AV. Rivadavia N° 3967 PB. y EP		4-348135,4-334625
		Somellera 5240, planta baja		4-349081,4-334223
		Trelles, Manuel R. Nº 1137 PB/PA,.		4-335774,4-348982
		Olazábal N° 2271 PB., 1º y 2º piso		4-335162,4-335163,4-335164
		Av. Belgrano 2093, 3° piso, departamento 7 y EP		4-335018,4-335016,4-335017,4-335015,4-335014
		Tucumán N° 1729, PB.,		4-349256
		Olaya N° 1023, PB UF2.,		4-288777,4-288778,4-288779,4-288780
		Av. Avellaneda 421, planta baja, unidad funcional 1.,		4-288776
		Av. ACOYTE 701, planta baja y sótano		4-334894
		Sarmiento N° 1751, PB, UF 2.,		4-349301
		Olazabal Nº 2510 PB/1º PISO		4-349608
		Reconquista N° 690 PB. y PA		4-348840
		Libertad N° 1275 PB., SS.,		4-273942
		Vuelta de Obligado N° 3508 PB., EP., 1° piso y SS		4-347933,4-347931,4-314348
		Arenales N° 2922, PB, 1° y 2° piso y EP		4-334059
		Av. Caseros N° 1732 PB, DPTO 1		4-334028
		Av. Brasil N° 2581 PB.,		4-334027
		Sarmiento 4136, planta baja		4-334026
		Av. Córdoba N° 6162 PB y PA		4-348027
		Fernández de Enciso 4603, planta baja y 1° piso.,		4-149088
		Av. Gral. Las Heras N° 2118, PB		4-335323
		Lavalleja N° 1343, PB y EP.,		4-360026
		Pinto N° 4860 PB, EP y 1° piso		4-347226,4-334375
		Fitz Roy N° 1727, PB, 1° y 2° entrepiso		4-335322
		Tacuarí N° 599 PB/PA (puerta de madera		4-349726
		Cnel. Niceto Vega N° 5511 PB y 1° piso		4-323162
		Bartolomé Mitre N° 2193 PB		4-334030
		Montevideo N° 779 PB. y EP.,		4-313027
		Carlos Calvo N° 2232 PB		4-349104,4-349103
		AV. Costanera Rafael Obligado Nº 1221 PB/PA		4-303300
		Marcelo T. de Alvear N° 1373/81, PB y SS.,		4-334342,4-334343,4-347934,4-347935
		AV. Varela 1134, planta baja, subsuelo, entre piso y 1° piso.,		4-347007
		Cnel. Niceto Vega N° 5646, Pb y 1° piso.,		4-349752
		AV. Entre Ríos N° 121 PB y EP		4-334591
		Av. Lafuente N° 31, PB		4-321339
		Bacacay N° 2946, PB y 1° piso		4-321013
		Av. Caseros N° 1437 PB		4-334029
		Aristóbulo Del Valle N° 1208 PB		4-335324
		Bonpland N° 1690, PB. y 1° piso		4-303349
		DR. Ramón Carrillo N° 310 PB., 1° piso y azotea		4-347995,4-349284,4-349283
		Ciudad de la Paz N° 3330 PB/1° Piso		4-349602
		Av. Córdoba 4042		4-347227
		GRAL. Enrique Martínez Nº 1297 PB/EP		4-349206
		Av. Córdoba N° 3515, Piso 8°, “A” y “B” (UF N° 28 y 29).,		4-288782
		Cuba N° 3300 PB		4-315245
		Rodríguez Peña N° 1150 PB, PA, EP		
		Basavilbaso N° 1328/40 PB, SS, EP		
		Gral. Fructuoso Rivera N° 2962/64/68 PB, EP 1° Piso		
		Guardia Vieja N° 3811 PB		4-301173
		Talcahuano Nº 485, PB, Sótano y Entresuelo		4-313029
		Av. General Paz 10968, planta baja		4-347228,4-347229,4-347230
		Av. General Paz –colectora- N° 10836, planta baja y 1º piso.,		4-347231
		Carhue Nº 3349, PB y PA.,		4-348635,4-348636,4-333769,4-333770
		Bragado N° 5840 PB		4-349105
		Quilmes Nº 426/36 PB/EPs/1º PISO		4-348245,4-348246,4-348247,4-348651,4-348652
		Av. Alicia Moreau de Justo N° 1140, PB, SS y 1° Piso		4-335701
		Santa Catalina N° 2195/97/99, PB y O’Gorman N° 3390, PB, EP y 1° P		4-348248,4-348249,4-348250,4-348653,4-348654
		Olavarría Nº 916 PB. y 1° piso		4-333078
		Céspedes Nº 3858 PB		4-348116
		Pavón N° 2720 PB		4-347644
		Av. Corrientes 1312, piso 11 UF 41		4-313030
		Libertad 453 PB. UF 1.,		4-313031
		Av. Gaona N° 2079 PB		4-288785
		Avda. Jujuy N° 536 PB, UF 8.,		4-335617,4-335618
		Eugenio Garzón 3768/70, planta baja y planta alta.,		4-347613,4-347612
		peron juan domingo  2933		
		Adolfo Alsina 1329, planta baja, entre piso y planta alta		4-315683
		AV. Avellaneda –altura 1400- PB., e/Nicasio Oroño y Juan José Biedma p/baldio cria 13		4-349877,4-349878
		Posadas 1560/80 y Av. Alvear 1883, planta baja, unidad funcional 227, local 20		4-349303
		Serrano 1459, planta baja		4-335662
		Felipe Vallese Nº 1101 PB		4-335945
		Virrey Cevallos N° 744 PB y PA		4-334592
		Adolfo Bioy Casares N° 2019 PB		4-321669,4-321670
		Humberto 1° N° 1901 PB y SS		4-347519
		Araujo Nº 2049,.		4-348609,4-348608,4-347646,4-348611,4-348610
		Cuenca Nº 3515 PB,.		4-349304
		Valentín Gómez N° 3304 PB		4-347521
		Gorriti 3780		4-016067
		Suarez N° 925 y Brandsen N° 930,.		4-322028
		Juan Domingo Perón N° 1829		4-321671
		Av. Juan Bautista Alberdi N° 4395/99 PB y PA		4-334033
		Virrey Cevallos N° 840		4-347518
		Costa Rica N° 5448 PB y PA,.		4-335688
		Av. Emilio Castro N° 6463		4-335730
		Avda. Mendoza 5100, planta baja y entre piso		4-349576
		Av. Congreso N° 2114 PB		4-273063,4-273064
		Irala N° 853 PB		4-321703,4-321228
		Av. Rivadavia 4262 PB		4-348450
		República Bolivariana de Venezuela 2763/65, planta baja, 1°, 2° piso-TERRAZA		4-349955,4-349956,4-360452
		Cerrito N° 28, PB		4-301175
		Bolívar N° 860		4-334394
		Cnel. Niceto Vega N° 4959 PB		4-347235
		Portela N° 1207		4-334032
		Uriburu N° 1018 PB y SS		4-347520
		Av. Rivadavia N° 10412		4-349754
		Olleros N° 4158		4-349255
		Lavalle N° 2641 3° piso UF 302.,		4-349880
		Av. Santa Fé N° 2516		4-267825
		AV. Corrientes Nº 6092 PB UF 14.,		4-348841
		peron 2930		
		Quilmes Nº 426/36 PB/EPs/1º PISO		4-348245,4-348246,4-348247,4-348651,4-348652/4-349859
		BRANDSEN 1017/23/25		4-347814
		Republica de Eslovenia N° 1894 PB, UF 1.,		4-349257
		Suarez N° 1117/23 PB, 1° y 2° piso		4-348118
		Av. Triunvirato N° 3975 PB		4-348964
		Andrés Lamas 1538/42, planta baja y entre pisos		4-333143,4-4-333142
		Paraguay N° 501, PB. y SS.,		4-347080
		Concordia Nº 74 PB		4-349007,4-349008,4-349009
		Esquiú N° 1227 PB-1° Piso.,		4-322475
		AV. Warnes N° 1642 PB. y EP		4-347597; 4-347596;4-347595
		Blanco Encalada Nº 4739/45, PB y 1º		4-347143; 4-347144
		Jorge Luis Borges N° 1872 PB, 1° piso		4-360301
		Felipe Vallese N° 3740 PB		4-348457;4-348986
		José León Suárez 166, planta baja, sector medio habitación 9 y 14 –		4-347817
		José León Suárez 166, planta baja, sector frente habitación 1		4-347818
		José León Suárez 166, planta baja, última habitación lado derecho		4-347816
		José E. Rodó N° 6530/6532 PB/PA		4-347570;4-347569
		José León Suárez 166, planta baja, local frente, cocina, N° 3		4-360877;4-360878
		Darwin 216, planta baja y planta alta		4-334593
		Juan A. García Nº 4741 PB/1º Y 2º PISO.,		4-347360;4-347358;4-347359;4-347361
		José León Suarez Nº 166 PB Izquierda frente, Local 18		4-360879
		Uriarte N° 1005, PB.,		4-349258
		Rivadavia  B, N° 1 y N° 2, casa N° 538, PB. y PA,.		4-333774
		Av. Elcano N° 4030 PB,.		4-48799
		Av. Independencia N° 1702		4-288786
		José León Suarez Nº 166 PB HABITACION 15 CENTRO		4-360876
		Loyola N° 223/29, PB, Azotea, UF 2,.		4-335946
		Bulnes N° 331,.		4-335853
		Calderón De La Barca N° 2150 PB		4-349033
		Echeandia Nº 2847/49 PB		4-349384; 4-349530
		BACACAY 3445, planta baja, 1° y 2° piso		4-349016; 4-349017
		Av. Lacarra Nº 1116 PB/Terraza		4-349382; 4-349383; 4-349529
		Rafael Obligado N° 2222 		4-348660
		Rio de Janeiro N° 538 PB y EP, UF 1.,		4-334968
		Vera N° 652 PB, UF 2,.		4-288787
		Av. Córdoba N° 6069 PB, 1° y 2° Piso		4-335948
		Echeverría N° 2490, Departamento “A” Sótano y PB, UF 1.,		4-347057
		AV. Corrientes Nº 6075/77 PB.,		4-335947
		Chacabuco N° 738/40 PB., 1° piso y EPS		4-333599; 4-347997; 4-333600; 4-347998
		Monroe Nº 2686 PB		4-348844
		Rafael Obligado N° 2222 		4-348031
		Cnel. Niceto Vega N° 5189/91		4-360377
		Villa 1-11-14 CASA 63 MANZANA 23 PB a 4º PISO PUERTA-12		4-349159; 4-348642; 4-348641
		Villa 1-11-14 CASA 113 MANZANA 18 PB/1º Y 2º PISO		4-347864; 4-360203; 4-360204
		Paraná N° 1048, PB, 1°, 2° y 3° piso		4-348008
		Vidal N° 1838, PB		4-348032
		Perú N° 895 PB y SS		4-335702
		José A. Cabrera N° 4946 PB. y EP		4-334062
		Cnel. Niceto Vega N° 5629/35 PB,.		4-321672
		Gascón N° 1209, PB,.		4-323286
		Roque Pérez N° 4801, PB y SS- esquina Pico N° 3599		4-334041
		Viamonte N° 901, esq. Suipacha 708, PB y Sótano, UF N° 2		4-288792
		Agrelo N° 3611 PB		4-348846; 4-348845
		Thames N° 1402,.		4-360701
		Guamini N° 4794, PB,.		4-349681
		Av. Santa Fe N° 4838 PB		4-273943
		Álvarez Thomas N°487 PB		4-315248
		Asentamiento Precario 1.11.14, Manzana 21, casa 76, puerta 1, s/n		4-360853; 4-360407
		Asentamiento precario 1-11-14, manzana Nº 19, casa Nº 38,		4-348645; 4-349162
		Asentamiento Precario 1.11.14, Manzana 21, casa 76, 3° piso , puertas-8-10		4-360408; 4-360854
		Villa 1-11-14 manzana 21, casa 76, puerta 12, 2º Piso		4-348644; 4-349161
		Villa 1-11-14 CASA 113 “A” MANZANA 18 PB/PA.,		4-347362; 4-347364; 4-347363; 4-347196
		Cnel. Niceto Vega N° 5646 PB y 1°,.		4-303675
		Humboldt N° 1585/87 PB y PA		4-349757; 4-349756
		Tarija 3368, planta baja, sótano, entre pisos, 1°, 2º, 3º y azotea.,		4-334416; 4-334417; 4-334418; 4-334415; 4-334419
		Av. Santa Fe 4549/55, planta baja, 1° y 2° piso		4-361001
		Carlos Morel N° 4121 PB, Dpto. “1”.,		4-360929; 4-360928
		Pilar N° 1981/83 P.B. y P.A.,		4-323220; 4-323219; 4-349386
		Villa 1-11-14 manzana 21, casa 76, dto. 2.,		4-348663; 4-349533
		Asentamiento 1-11-14 Manzana 23, casa 62		4-349531; 4-348661
		Villa 1-11-14 CASA 116 MANZANA 18 3º PISO		4-347365
		Asentamiento precario 1-11-14, manzana Nº 21, casa Nº 107, PB.,		4-348643; 4-349160
		Carlos Morel N° 4121 PB/ UF N° 2 (Fondo).,		4-349089; 4-349088
		Asentamiento Precario 1.11.14, MZ. 21, casa 1 –PB		4-349532;4-348662
		Asentamiento precario 1-11-14, manzana Nº 23, casa Nº 49		4-360406; 4-360852
		Andrés Ferreyra N° 4032 PB, EP.,		4-347147; 4-347146;4-3471478;4-347149
		Carlos Pellegrini 189, planta baja, entre piso y sótano		4-288791;4-288790
		Viamonte 977, planta baja		4-288794; 4-288793
		VIAMONTE 948, planta baja y planta alta		4-349259
		Murguiondo Nº 2338/40/42 PB/1º Y 2º PISO		4-349861; 4-349860; 4-347618
		Teniente General Juan Domingo Perón 1428, planta baja.,		4-335949
		Uruguay Nº 195/99, PB, EP y Sótano		4-322172
		Soler N° 5581 PB y PA		4-348012
		Primera Junta N° 3438/40 PB., PA. y EP.,		4-349090; 4-348646
		Virrey del Pino Nº 2598, PB y PA, UF 6		4-348848
		Lavalle 951, planta baja, subsuelo, entre piso y 1° piso		4-349022
		DR. Enrique Finochietto N° 1244 PB., 1°, 2°, 3° piso y azotea		4-361276; 4-349291; 4-348000; 4-349290
		Brandsen N° 805		
		Santo Domingo N° 3700 (esq. Monteagudo 1500) PB manzana 10, casa-21		4-349058; 4-360931
		Capitán Gral. Ramón Freire Nº 2362/66 PB/1º Y 2º PISO		4-333112; 4-333113
		Av. Santa Fe N° 5251 PB, EP, UF 1,.		4-347457
		Asentamiento 1-11-14 Manzana 21 Casa 76 1º PISO		4-348664; 4-349534/4-360424
		Av. Rivadavia N° 11095 PB, EP		4-334036
		AV. Cabildo Nº 592 PB		4-334390/4-349758
		Cañada de Gómez N° 5553/77, PB y PA (y Cosquín N° 5502 y beron de astrada 6638/92		4-349388; 4-349387; 4-349389; 4-360411;4-360412
		Fraga N° 1247, PB y Sótano		4-349901
		Tte. Gral. Perón N° 2660 PB, EP, Sótano		4-349118;4-349119
		Marcelo T. de Alvear N° 2167, PB y EP		4-323536
		Jeronimo Salguero N° 3212/3360 1° piso y EP, locales 1031/37		4-349564
		Humboldt Nº 42/44/48/50/52 al 62 PB/1º a 4º PISO		4-349059
		Cañada de Gómez Nº 5567 (entre 5557 y 5577)		4-360410,
		Castelli N° 4 PB. y EP. (altillo),.		4-348814; 4-348815
		Tte Gral Juan Domingo Perón N° 2709 PB/EP, UF 134		4-360166; 4-360167
		Murature 5021/25/27 PB. y PA		4-348934;4-348935;4-348933;4-348932
		Billinghurst N° 443 PB. y 1° piso		4-347947;4-347946
		AV. Hipolito Yrigoyen N° 1654 PB y EP		4-335031; 4-335032
		TTE. GRAL. Juan D. Perón Nº 2771 PB/SOTANO UF 1,.		4-360165; 4-348918
		TTE. GRAL. Juan D. Perón Nº 2720 PB, 1º y 2º Piso, UF 3.,		4-348922; 4-348923
		TTE. GRAL. Juan D. Perón Nº 2767 PB/EP/SOTANO UF 2.,		4-348920; 4-348919;4-348921
		Av. Rivadavia N° 5283, SS Local 40		4-348747; 4-348748
		Cap. Gral Ramón Freire 902 PB y EP. UF 5		4-335950
		Maipú N° 694 PB y Sótano UF 1.,		4-349260
		Av Pte. Manuel Quintana N° 362 PB, Sótano		4-349656
		Las Tunas Nº 11166, PB		4-323221
		Díaz Colodrero Nº 2748 PB,.		4-348033
		PRESIDENTE JOSE E. URIBURU 279, 3° piso		4-347523
		F.N.D.F.S EST 11 DE SEPTIEMBRE – PUEYRREDON 110- LOCAL-36		4-347458
		Av. Juan B. Justo Nº 2951 (Darwin Nº 247), PB y PA		4-349121
		Felipe Vallese Nº 3606 PB		4-348184; 4-348183
		AV. Nazca N° 440 PB. y PA.		4-288795;4-288796
		Av. Avellaneda N° 2071, PB-PA		4-349902
		Av. Corrientes N° 2224/26 PB, 1° y 2°,.		4-334747;4-334748
		Ibera Nº 2501 PB,.		4-335116
		Joaquín V. González N° 662 PB, PA		4-347367; 4-347366
		Av. Avellaneda 2771, planta baja, local 6,.		4-347061
		Adolfo P. Carranza N° 3002 PB		4-360227
		Av. San Juan N° 2190/2200, PB y SS (UF2) y Pasco N° 1218		4-349403; 4-349404
		Av. Rivadavia N° 2355/59 (y Azcuénaga N° 31/55), PB, 1° SS, 2° SS,y 3 ss		4-360413
		Valentín Gómez 2997/99 esquina Ecuador 405 planta baja y sótano, UF 1		4-347459; 4-348849
		AV. Warnes N° 1503 PB., PA. y sótano		4-334472
		Av. Cabildo N° 4929, PB y EP		4-335117; 4-335118
		Av. Callao N° 368 PB-SS		4-321416
		Araoz 84/86, 1°, 2° y 3° piso		4-348850
		Castelli Nº 139 PB.,		4-361577
		Antezana Nº 90 PB.,		4-347063
		Av. Pueyrredón 241, 1° piso, local 126		4-361576
		AV. Pueyrredón N° 1341 PB., 1° a 3° piso		4-347162; 4-347163;4-315017
		La Pampa Nº 843 PB/EP, UF 1.,		4-361726
		Lima Nº 1735, PB		4-349214
		Acevedo N° 153 PB. y EP. –unidad funcional N° 1		4-288797
		Corvalán 2643 PB Dpto. 2.,		4-349061; 4-349390
		Lima 1735, planta baja, Local C4.,		4-347909
		Muñecas N° 1176 PB,.		4-349261
		La Rioja N° 193, PB, 1°, EP, 2° y Terraza		4-334422; 4-334423
		José León Suárez N° 314-16 PB		4-348185; 4-334473;4-334474
		Av. Estado de Israel 4819 PB y EP, UF 1,.		4-347062
		Av. Dorrego 811, planta baja.,		4-349262
		Av. Warnes N° 785 PB. y PA. UF 8		4-288798
		Gorriti N° 4739,.CABA		4-321015
		Morón N° 2440		4-347237
		Av. Independencia N° 1275		4-349736
		México N° 918, PB y 1°,.		4-349657
		Av. Juan B. Justo N° 5902, PB y 1°,.		4-347240
		Cnel. Niceto Vega N° 5642 PB y PA		4-347242
		Guardia Nacional N° 1390 1° piso		4-335988
		Segurola N° 614/16, PB, 1° y 2°,.		4-349760
		Av. Castro Barros N° 1048/50 PB, 1° piso, UF 1 y 2,.		4-349706;4-349707
		Av. Juan. B. Alberdi N° 4655, PB		4-335664
		AV. Dorrego Nº 1735, PB y 1º Piso		4-016184
		Av. Directorio N° 4500 PB		4-335667
		Av. Juan. B. Alberdi N° 4671/73/75 Pb, 1° piso, y AZ		4-335666
		Cnel. Niceto Vega N° 5646 PB y 1°,.		4-335034
		Rodríguez Peña N° 1220, PB y SS.,		4-347236
		Av. Juan. B. Alberdi N°5252 PB y 1°,.		4-335668
		Armenia N° 1740 PB,.		4-349621
		Jorge Luis Borges N° 1640		4-349619
		Av. Juan de Garay N° 980		4-349735
		Hipólito Yrigoyen N° 1440 PB y EP		4-349581
		José A. Cabrera N° 3778/80 PB, EP, y ST,.		4-334065;4-334063
		San Pedrito N° 115, PB y 1,.		4-335989
		Av. Nazca N° 1188 PB		4-347241
		Av. Gaona N° 4105 PB, 1° y 2° piso		4-347238; 4-347239
		Gral. Lucio N. Mansilla N° 3774 PB		4-360306
		Gorriti Nº 3944 Sótano/PB/ 1° a 3° Piso/Azotea		4-360462;4-360463;4-360464
		Av. Juan B. Justo N° 7102 PB		4-335665
		Pichincha N° 674, PB		4-361053
		Quintino Bocayuva N° 15/19, Pb y 1° Piso,.		4-360033
		Talcahuano N° 986/970 local 253 PB/Sótano 		4-333198;4-333200;4-333199
		Armenia N° 1728, PB., SS. y 1° piso.,		4-347369;4-347370
		Pico Nº 4728 PB		4-360231;4-360232;4-360233
		Pje. Pueyrredon Prilidiano N° 4188/90 (e/chapas 4184 y 4196-pb-ep		4-360417;4-360885
		Moreno 1856		4-361579; 4-361580
		Arribeños N° 2242 PB		4-288800
		Av. Corrientes Nº 5483, planta baja		4-361751
		AV. Corrientes Nº 6001/19 (Humboldt Nº 618) PB/1º Y 3º-PISO AZOTEA		4-349166
		24 de Noviembre Nº 22 PB		4-361051
		Puán N° 1655/57 PB		4-349391;4-349392;4-349393
		Av. Rivadavia N° 3208 PB y EP,.		4-347525
		Adolfo Alsina N° 451 PB y 1°,.		4-274730
		Pavón N° 1249		4-349658
		Rodríguez Peña N° 1074 SS		4-321016
		Miñones 2320/24 PB		4-347065
		Concordia Nº 88 PB/EP (Sector medio		4-349407;4-349408
		Av. Rivadavia N° 7800, PB/EP (Esq. Pergamino N° 6).,		4-349580
		COLOMBRES 768/770/772, planta baja y entre piso		4-016071
		Magariños Cervantes N° 5037, PB Fondo		4-360416;4-360884
		Lavalle 3563, planta baja		4-361627
		Echeandia N° 4487/89 PB., PA. y EP		4-360138;4-360139;4-360140;4-360141;4-360142;4-360143;4-360170
		Virrey Arredondo Nº 3066, PB, 1º Piso y azotea		4-360465
		Lavalle Nº 741, PB y 1º Piso		4-349216
		Quintino Bocayuva N° 1772 PB, PA.,		4-349092;4-347622
		Curapaligue N° 1867 PB/Frente.,		4-360421;4-360422;4-360423
		Juan Manuel Blanes N° 162/74 – Ministro Brin N° 610 PB/PA		4-360886
		Peña N° 2138/40 PB, 1° y 2° piso		4-323494;4-333115
		Juan Agustín García N° 4738/74,.		4-360778;4-360779;4-360777
		Sarmiento Nº 674 SS/PB/1º AL 11º PISO		4-360432;4-361283;4-361282
		AV. Gaona Nº 1287 PB		
		Curapaligüe Nº 1867, PB y EP “Fondo”.,		4-361330;4-361331
		Guardia Vieja N° 4338/40 PB. y 1° piso		4-361728
		Av. Díaz Vélez 4334 PB, EP UF 1		4-361727
		BALBASTRO 2026/28, planta baja		4-361329;4-360420;4-347825;4-361328;4-360419;360418
		AV. Corrientes Nº 3372 PB/EP/1º a 4º SS		4-347869;4-347868
		Rosario Nº 677 PB UF 1		4-347066
		Brasil 2869		4-349539;4-360937
		Av. Pinedo al 1200		4-361332
		Av. Corrientes N° 1301 PB-SS		4-321417
		Australia N° 2414/28 y Santa Magdalena N° 313 PB,.		4-361333
		Av. Lope de Vega N° 2979, PB, UF 1,.		4-349264
		Ramón L. Falcón N° 6673/75 PB. y PA		4-360952
		Pedro Lozano 4380 PB		4-361752
		Av. Corrientes Nº 1205 PB/EP.,		4-315995
		Zabala Nº 1736, PB y EP		4-361777
