"NOMBRE","TIPO","DIRECCION","CLAUSURADO","ACTA","origin","DIRECCION.CLEAN","regexp","calle","numero"
NA,NA,"Acassuso Nº 6990 PB",NA,"4-334301,4-303294","D1","acassuso no 6990 pb","^([a-z ]*)([0-9]+)","acassuso no  pb","6990 pb"
NA,NA,"Esmeralda Nº 634 5° piso DTO. “A”,.",NA,"4-323445","D1","esmeralda no 634 5 piso dto ""a""","^([a-z ]*)([0-9]+)","esmeralda no  5 piso dto ""a""","634 5 piso dto ""a"""
NA,NA,"México N° 1158 PB",NA,"4-252567","D1","mexico 1158 pb","^([a-z ]*)([0-9]+)","mexico  pb","1158 pb"
NA,NA,"Florida N° 963, PB/ST Local 57",NA,"4-314225","D1","florida 963 pb/st local 57","^([a-z ]*)([0-9]+)","florida  pb/st local 57","963 pb/st local 57"
NA,NA,"Juncal N° 1891 PB y SS,.",NA,"4-314224","D1","juncal 1891 pb y ss","^([a-z ]*)([0-9]+)","juncal  pb y ss","1891 pb y ss"
NA,NA,"Gral. Juan D. Perón Nº 1372 SS/PB",NA,"4-301799","D1","gral juan d peron no 1372 ss/pb","^([a-z ]*)([0-9]+)","gral juan d peron no  ss/pb","1372 ss/pb"
NA,NA,"Cnel. Niceto Vega N° 5189, PB y PA",NA,"4-314135","D1","cnel niceto vega 5189 pb y pa","^([a-z ]*)([0-9]+)","cnel niceto vega  pb y pa","5189 pb y pa"
NA,NA,"Piedras 147, planta baja y sótano",NA,"4-252566","D1","piedras 147 planta baja y sotano","^([a-z ]*)([0-9]+)","piedras  planta baja y sotano","147 planta baja y sotano"
NA,NA,"Guardia Vieja Nº 4201 PB/SOTANO",NA,"4-303314","D1","guardia vieja no 4201 pb/sotano","^([a-z ]*)([0-9]+)","guardia vieja no  pb/sotano","4201 pb/sotano"
NA,NA,"Junín Nº 616, PB, UF 4,.",NA,"4-016080","D1","junin no 616 pb uf 4","^([a-z ]*)([0-9]+)","junin no  pb uf 4","616 pb uf 4"
NA,NA,"Junín N° 610 PB",NA,"4-048944","D1","junin 610 pb","^([a-z ]*)([0-9]+)","junin  pb","610 pb"
NA,NA,"Gurruchaga N° 1450 PB, PA.,",NA,"4-303312,4-303313","D1","gurruchaga 1450 pb pa","^([a-z ]*)([0-9]+)","gurruchaga  pb pa","1450 pb pa"
NA,NA,"Salta N° 88/90/92 1° a 7° piso, PB, sótano, azotea",NA,"4-313210","D1","salta 88/90/92 1 a 7 piso pb sotano azotea","^([a-z ]*)([0-9]+)","salta /90/92 1 a 7 piso pb sotano azotea","88/90/92 1 a 7 piso pb sotano azotea"
NA,NA,"Suipacha 774/6, planta baja, subsuelo y entre piso",NA,"4-333861,4-323446,4-333862","D1","suipacha 774/6 planta baja subsuelo y entre piso","^([a-z ]*)([0-9]+)","suipacha /6 planta baja subsuelo y entre piso","774/6 planta baja subsuelo y entre piso"
NA,NA,"Humberto Primo N° 2758, PB y 1° Piso",NA,"4-301759","D1","humberto primo 2758 pb y 1 piso","^([a-z ]*)([0-9]+)","humberto primo  pb y 1 piso","2758 pb y 1 piso"
NA,NA,"Av. Medrano N° 1245 PB, UF 1.,",NA,"4-334551","D1","av medrano 1245 pb uf 1","^([a-z ]*)([0-9]+)","av medrano  pb uf 1","1245 pb uf 1"
NA,NA,"Av. Juan B. Alberdi N° 436, PB y PA.,",NA,"4-272882","D1","av juan b alberdi 436 pb y pa","^([a-z ]*)([0-9]+)","av juan b alberdi  pb y pa","436 pb y pa"
NA,NA,"Av. La Plata N° 731/33/35 PB, EP, 1° piso",NA,"4-315644","D1","av la plata 731/33/35 pb ep 1 piso","^([a-z ]*)([0-9]+)","av la plata /33/35 pb ep 1 piso","731/33/35 pb ep 1 piso"
NA,NA,"AV. Avellaneda Nº 117 PB/EP",NA,"4-334552","D1","av avellaneda no 117 pb/ep","^([a-z ]*)([0-9]+)","av avellaneda no  pb/ep","117 pb/ep"
NA,NA,"Vedia N° 3250 PB, 1° y 2°.,",NA,"4-334828,4-334829,4-334826,4-334827","D1","vedia 3250 pb 1 y 2","^([a-z ]*)([0-9]+)","vedia  pb 1 y 2","3250 pb 1 y 2"
NA,NA,"Zuviría N° 5969, PB (Fondo),.",NA,"4-333262,4-333260,4-333712","D1","zuviria 5969 pb (fondo)","^([a-z ]*)([0-9]+)","zuviria  pb (fondo)","5969 pb (fondo)"
NA,NA,"Migueletes 567, PB",NA,"4-334264,4-334265","D1","migueletes 567 pb","^([a-z ]*)([0-9]+)","migueletes  pb","567 pb"
NA,NA,"AV. San Juan Nº 2801 y Catamarca Nº 1193/95 PB/EP/SOTANO",NA,"4-315388","D1","av san juan no 2801 y catamarca no 1193/95 pb/ep/sotano","^([a-z ]*)([0-9]+)","av san juan no  y catamarca no 1193/95 pb/ep/sotano","2801 y catamarca no 1193/95 pb/ep/sotano"
NA,NA,"La Rioja N° 814/16 PB., EP. y sótano",NA,"4-334602,4-334603,4-323988","D1","la rioja 814/16 pb ep y sotano","^([a-z ]*)([0-9]+)","la rioja /16 pb ep y sotano","814/16 pb ep y sotano"
